,station_id,road_id,km,name,longitude,latitude,altitude,timezone
1118,50050,221,42,км 42+050 а/д Крымск-Джигинка,45.113916,37.617861,0,3
1119,50052,224,30,км 30+450 а/д Славянск-на-Кубани-Ачуево,45.46275,37.991026,0,3
1120,50054,235,32,км 32+989 а/д Староминская-Кущевская,46.544694,39.604806,0,3
1121,50056,211,93,км 93+000 а/д Краснодар-Ейск,45.84916666666667,39.04611111111111,0,3
1122,50058,216,43,км 43+200 а/д Журавская-Тихорецк,45.755215,39.924034,0,3
1123,50060,225,52,км 52+360 а/д Лабинск-Мостовой,44.18666666666666,40.84305555555556,0,3
1124,50062,226,0,км 0+150 а/д Белореченск-Нижневеденеевский,44.828822,39.8423,0,3
1125,50064,227,77,км 77+500 а/д Армавир-Отрадная,44.413603,41.481,0,3
1126,50066,228,53,км 53+400 а/д Ейск-Копанская,46.278076,38.457943,0,3
1127,50068,218,23,км 23+450 а/д Усть-Лабинск-Упорная,45.10222222222222,39.90861111111111,0,3
1128,50070,229,0,км 0+050 а/д Крыловская-Тверской,46.31475,39.951417,0,3
1129,50072,227,29,км 29+800 а/д Армавир-Отрадная,44.755499,41.169685,0,3
1130,50074,219,110,км 110+750 а/д Майкоп-Туапсе,44.265857,39.267106,0,3
1131,50076,217,36,км 36+259 а/д Тихорецк-Белая Глина,45.937739,40.586645,0,3
1132,50078,230,32,км 32+579 а/д Тимашевск-Полтавская,45.45361111111112,38.67305555555555,0,3
1133,50080,231,20,км 20+370 а/д Армавир-Невинномысск,44.855892,41.349269,0,3
1134,50082,232,3,км 3+550 а/д Сенной-Тамань,45.277706,36.978681,0,3
1135,50086,234,0,км 0+180 а/д Дубравная Улица (Эсто-садок),43.6816,40.2431,0,3
